"index","d__Bacteria;p__Armatimonadota","d__Bacteria;p__Firmicutes","d__Bacteria;p__Proteobacteria","d__Bacteria;p__Planctomycetota","d__Bacteria;p__Actinobacteriota","d__Bacteria;p__Bacteroidota","Unassigned;__","d__Bacteria;p__Patescibacteria","d__Bacteria;p__Bdellovibrionota","d__Bacteria;p__Acidobacteriota","d__Bacteria;p__Gemmatimonadota","d__Bacteria;p__Verrucomicrobiota","d__Bacteria;p__Cyanobacteria","d__Bacteria;__","d__Bacteria;p__Myxococcota","d__Bacteria;p__Desulfobacterota","d__Bacteria;p__Deferribacterota","d__Bacteria;p__Chloroflexi","d__Bacteria;p__Margulisbacteria","d__Bacteria;p__Synergistota","d__Bacteria;p__Campilobacterota","d__Bacteria;p__Dependentiae","d__Bacteria;p__uncultured","d__Bacteria;p__Deinococcota","d__Bacteria;p__Fusobacteriota","d__Bacteria;p__Halanaerobiaeota","d__Bacteria;p__Methylomirabilota","d__Bacteria;p__Nitrospirota","d__Bacteria;p__Abditibacteriota","d__Bacteria;p__Caldatribacteriota","d__Bacteria;p__Latescibacterota","d__Bacteria;p__Rs-K70_termite_group","d__Bacteria;p__Elusimicrobiota","d__Bacteria;p__Thermotogota","d__Bacteria;p__Spirochaetota","d__Bacteria;p__WPS-2","d__Bacteria;p__Cloacimonadota","d__Bacteria;p__Fibrobacterota","d__Bacteria;p__RCP2-54","bio_or_control","category_broad","category_specific","bird_id","bird_sex","bird_age","capture_date","num_mites_fm","num_mites_m","mite_sp_fm","mite_sp_m"
"PF22",0,1077,6799,68,1275,864,0,107,0,76,0,81,0,212,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"biological","feather","feather","Rosanne","Female","SY","5/13/21",1,"na","Proctophyllodes","na"
"PM23",0,3905,6472,0,292,808,0,0,161,0,0,208,0,0,0,0,0,0,0,154,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Martina","Female","SY","5/13/21",6,6,"Proctophyllodes","Proctophyllodes"
"PF23",0,110,1975,0,632,109,0,0,0,0,0,0,394,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,"biological","feather","feather","Martina","Female","SY","5/13/21",6,"na","Proctophyllodes","na"
"PM24",0,70,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Yellow B","Female","ASY","5/13/21",76,76,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
"PF24",46,416,483,0,938,219,13,0,16,0,0,0,0,71,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Yellow B","Female","ASY","5/13/21",76,"na","Amerodectes and Proctophyllodes","na"
"PM25",0,4959,1679,0,35,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Tony","Male","SY","5/14/21",267,267,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
"PF25",0,18,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Tony","Male","SY","5/14/21",267,"na","Amerodectes and Proctophyllodes","na"
"PM26",0,1569,14228,99,278,970,0,25,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Tyus","Male","SY","5/14/21",90,90,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
"PF26",21,421,7205,8,894,870,0,89,121,110,0,276,145,92,60,53,0,31,0,0,142,0,0,82,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Tyus","Male","SY","5/14/21",90,"na","Amerodectes and Proctophyllodes","na"
"PM27",0,415,23782,0,118,651,0,20,0,0,0,0,96,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Grayson","Male","SY","5/14/21",7,7,"Proctophyllodes","Proctophyllodes"
"PF27",36,1181,6697,197,22792,644,9,2,2,254,25,339,180,206,310,128,0,78,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Grayson","Male","SY","5/14/21",7,"na","Proctophyllodes","na"
"PM28",0,2984,6057,44,13,490,116,446,0,24,0,0,0,1175,0,0,0,194,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Matt Foley","Male","SY","5/14/21",12,12,"Amerodectes","Amerodectes"
"PF28",0,21,14,0,17,0,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Matt Foley","Male","SY","5/14/21",12,"na","Amerodectes","na"
"PM29",0,214,62,0,0,54,0,0,0,0,10,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"biological","mites","mites","Kayce","Female","ASY","5/13/21",1,1,"Proctophyllodes","Proctophyllodes"
"PF29",10,3946,2112,66,1259,825,0,0,13,28,20,30,11,2,39,0,0,17,0,0,0,0,0,57,0,0,0,0,3,63,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Kayce","Female","ASY","5/13/21",1,"na","Proctophyllodes","na"
"PM30",0,201,312,0,22,53,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Trisha","Female","SY","5/14/21",135,135,"Amerodectes","Amerodectes"
"PF30",0,651,649,7,26,223,22,0,3,0,2,15,3,3,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Trisha","Female","SY","5/14/21",135,"na","Amerodectes","na"
"PM05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Jonas","Male","ASY","4/30/21",41,41,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
