sample-id	absolute-filepath	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date	num_mites_fm	num_mites_m	mite_sp_fm	mite_sp_m
PM10	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix023-PM10_S46/Alix023-PM10_S46_L001_R1_001.fastq.gz	biological	mites	mites	Ms. Zip	Female	ASY	05/06/21	116	116	Amerodectes	Amerodectes
PF10	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix024-PF10_S47/Alix024-PF10_S47_L001_R1_001.fastq.gz	biological	feather	feather	Ms. Zip	Female	ASY	05/06/21	116	na	Amerodectes	na
PM11	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix025-PM11_S48/Alix025-PM11_S48_L001_R1_001.fastq.gz	biological	mites	mites	Dolly	Female	ASY	05/06/21	93	93	Amerodectes	Amerodectes
PF11	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix026-PF11_S49/Alix026-PF11_S49_L001_R1_001.fastq.gz	biological	feather	feather	Dolly	Female	ASY	05/06/21	93	na	Amerodectes	na
PM12	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix027-PM12_S50/Alix027-PM12_S50_L001_R1_001.fastq.gz	biological	mites	mites	Shania	Female	ASY	05/06/21	41	41	Amerodectes	Amerodectes
PF12	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix028-PF12_S51/Alix028-PF12_S51_L001_R1_001.fastq.gz	biological	feather	feather	Shania	Female	ASY	05/06/21	41	na	Amerodectes	na
PM13	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix029-PM13_S52/Alix029-PM13_S52_L001_R1_001.fastq.gz	biological	mites	mites	Patsy	Female	SY	05/06/21	33	33	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF13	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix030-PF13_S53/Alix030-PF13_S53_L001_R1_001.fastq.gz	biological	feather	feather	Patsy	Female	SY	05/06/21	33	na	Amerodectes and Proctophyllodes	na
PM14	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix031-PM14_S54/Alix031-PM14_S54_L001_R1_001.fastq.gz	biological	mites	mites	Reba	Female	SY	05/06/21	267	267	Amerodectes	Amerodectes
PF14	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix032-PF14_S55/Alix032-PF14_S55_L001_R1_001.fastq.gz	biological	feather	feather	Reba	Female	SY	05/06/21	267	na	Amerodectes	na
PF15	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix033-PF15_S56/Alix033-PF15_S56_L001_R1_001.fastq.gz	biological	feather	feather	DeAnthony	Male	SY	05/12/21	0	0	na	na
WASH14	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix034-WASH14_S57/Alix034-WASH14_S57_L001_R1_001.fastq.gz	control	control	wash_control	wash_control	na	na	na	na	na	na	na
KITA02	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix035-KITA02_S58/Alix035-KITA02_S58_L001_R1_001.fastq.gz	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC02	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix036-AKC02_S59/Alix036-AKC02_S59_L001_R1_001.fastq.gz	control	control	area_control	area_control	na	na	na	na	na	na	na
PM16	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix037-PM16_S60/Alix037-PM16_S60_L001_R1_001.fastq.gz	biological	mites	mites	Lucinda	Female	ASY	05/06/21	35	35	Amerodectes	Amerodectes
PF16	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix038-PF16_S61/Alix038-PF16_S61_L001_R1_001.fastq.gz	biological	feather	feather	Lucinda	Female	ASY	05/06/21	35	na	Amerodectes	na
PM17	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix039-PM17_S62/Alix039-PM17_S62_L001_R1_001.fastq.gz	biological	mites	mites	Rebound	Male	SY	05/12/21	63	63	Amerodectes	Amerodectes
PF17	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix040-PF17_S63/Alix040-PF17_S63_L001_R1_001.fastq.gz	biological	feather	feather	Rebound	Male	SY	05/12/21	63	na	Amerodectes	na
PM18	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix041-PM18_S64/Alix041-PM18_S64_L001_R1_001.fastq.gz	biological	mites	mites	Desmond	Male	ASY	05/12/21	79	79	Amerodectes	Amerodectes
