,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"1","k__Fungi.p__Ascomycota.c__Archaeorhizomycetes.o__Archaeorhizomycetales.f__Archaeorhizomycetaceae.g__Archaeorhizomyces",-1,"NA",20,"NA","NA","NA","against"
"2","k__Fungi.p__Ascomycota.c__Arthoniomycetes.o__Lichenostigmatales.f__Phaeococcomycetaceae.g__Phaeococcomyces",-1,"NA",20,"NA","NA","NA","against"
"3","k__Fungi.p__Ascomycota.c__Ascomycota_cls_Incertae_sedis.o__Ascomycota_ord_Incertae_sedis.f__Ascomycota_fam_Incertae_sedis.g__Hormodochis",-1,0,20,0,-1,-1,"against"
"4","k__Fungi.p__Ascomycota.c__Candelariomycetes.o__Candelariales.f__Candelariaceae.g__Candelaria",-1,"NA",20,"NA","NA","NA","against"
"5","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Acrospermales.f__Acrospermaceae.g__Acrospermum",-1,"NA",20,"NA","NA","NA","against"
"6","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Botryosphaeria",-0.804202156505011,0.619167146393347,20,0.138449982877009,-1.09398130099901,-0.514423012011013,"against"
"7","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Diplodia",-1,0,20,0,-1,-1,"against"
"8","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Dothiorella",0.981523870314347,"NA",20,"NA","NA","NA","for"
"9","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Lasiodiplodia",-1,"NA",20,"NA","NA","NA","against"
"10","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Neofusicoccum",-1,0,20,0,-1,-1,"against"
"11","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Sardiniella",-1,"NA",20,"NA","NA","NA","against"
"12","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Melanopsaceae.g__Melanops",-1,"NA",20,"NA","NA","NA","against"
"13","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Phyllostictaceae.g__Phyllosticta",-1,"NA",20,"NA","NA","NA","against"
"14","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiaceae.g__Capnodium",-1,0,20,0,-1,-1,"against"
"15","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiaceae.g__Chaetocapnodium",-1,0,20,0,-1,-1,"against"
"16","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiaceae.g__Leptoxyphium",-1,"NA",20,"NA","NA","NA","against"
"17","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiaceae.g__Phragmocapnias",-1,"NA",20,"NA","NA","NA","against"
"18","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiales_fam_Incertae_sedis.g__Arthrocatena",-1,0,20,0,-1,-1,"against"
"19","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiales_fam_Incertae_sedis.g__Diatractium",-1,"NA",20,"NA","NA","NA","against"
"20","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiales_fam_Incertae_sedis.g__Eriosporella",-1,"NA",20,"NA","NA","NA","against"
"21","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiales_fam_Incertae_sedis.g__Microcyclospora",-1,"NA",20,"NA","NA","NA","against"
"22","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Cladosporium",0.060146374219047,0.787499364276841,20,0.176090211076089,-0.308414673309043,0.428707421747137,"neutral"
"23","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Melomastia",-1,0,20,0,-1,-1,"against"
"24","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Neocladosporium",-1,"NA",20,"NA","NA","NA","against"
"25","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Rachicladosporium",-0.769611449408655,0.544390820848102,20,0.121729488174326,-1.02439419628833,-0.514828702528978,"against"
"26","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Toxicocladosporium",-1,0,20,0,-1,-1,"against"
"27","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Neoantennariellaceae.g__Cippumomyces",-1,0,20,0,-1,-1,"against"
"28","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Neodevriesiaceae.g__Neodevriesia",-0.477923863150406,0.825550340967077,20,0.184598668125051,-0.864293315947875,-0.091554410352937,"against"
"29","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Paradevriesiaceae.g__Paradevriesia",-1,0,20,0,-1,-1,"against"
"30","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Schizothyriaceae.g__Schizothyrium",-1,"NA",20,"NA","NA","NA","against"
"31","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Xenodevriesiaceae.g__Xenodevriesia",-1,0,20,0,-1,-1,"against"
"32","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideales.f__Dothioraceae.g__Dothiora",-1,0,20,0,-1,-1,"against"
"33","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideales.f__Dothioraceae.g__Hormonema","NA","NA",20,"NA","NA","NA","against"
"34","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideales.f__Dothioraceae.g__Pringsheimia",-1,0,20,0,-1,-1,"against"
"35","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideales.f__Saccotheciaceae.g__Aureobasidium",-0.746705840326237,0.668745697422387,20,0.149536083909696,-1.05968846095125,-0.433723219701223,"against"
"36","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideales.f__Zalariaceae.g__Zalaria","NA","NA",20,"NA","NA","NA","against"
"37","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideomycetes_ord_Incertae_sedis.f__Dothideomycetes_fam_Incertae_sedis.g__Lembosiniella",-1,0,20,0,-1,-1,"against"
"38","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideomycetes_ord_Incertae_sedis.f__Dothideomycetes_fam_Incertae_sedis.g__Peltaster",-1,0,20,0,-1,-1,"against"
"39","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Minutisphaerales.f__Minutisphaeraceae.g__Minutisphaera",-1,"NA",20,"NA","NA","NA","against"
"40","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Monoblastiales.f__Monoblastiaceae.g__Neoheleiosa",-1,"NA",20,"NA","NA","NA","against"
"41","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Muyocopronales.f__Muyocopronaceae.g__Muyocopron",-1,"NA",20,"NA","NA","NA","against"
"42","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Acrodontium",-1,0,20,0,-1,-1,"against"
"43","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Annellosympodiella",-1,0,20,0,-1,-1,"against"
"44","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Australosphaerella",-1,0,20,0,-1,-1,"against"
"45","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Cercospora",-1,"NA",20,"NA","NA","NA","against"
"46","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Colletogloeum",-1,0,20,0,-1,-1,"against"
"47","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Coremiopassalora",-1,0,20,0,-1,-1,"against"
"48","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Exopassalora",-1,"NA",20,"NA","NA","NA","against"
"49","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Houjia",-1,"NA",20,"NA","NA","NA","against"
"50","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Lecanosticta",-1,0,20,0,-1,-1,"against"
"51","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Microcyclosporella",-1,0,20,0,-1,-1,"against"
"52","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Mycosphaerella",-1,"NA",20,"NA","NA","NA","against"
"53","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Neoceratosperma",-1,0,20,0,-1,-1,"against"
"54","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Neodeightoniella",-1,0,20,0,-1,-1,"against"
"55","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Paramycosphaerella",-1,"NA",20,"NA","NA","NA","against"
"56","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Pleopassalora",-1,0,20,0,-1,-1,"against"
"57","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Pseudocercospora",-1,0,20,0,-1,-1,"against"
"58","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Ramularia",-0.669694797731792,0.699436602715524,20,0.156398778962343,-0.997041204180063,-0.342348391283521,"against"
"59","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Scleroramularia",-1,0,20,0,-1,-1,"against"
"60","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Teratoramularia",-1,"NA",20,"NA","NA","NA","against"
"61","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zasmidium",-1,0,20,0,-1,-1,"against"
"62","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria",-1,0,20,0,-1,-1,"against"
"63","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Constantinomyces",-1,"NA",20,"NA","NA","NA","against"
"64","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Hyweljonesia",-1,"NA",20,"NA","NA","NA","against"
"65","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Lapidomyces",-1,0,20,0,-1,-1,"against"
"66","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Penidiella",-1,0,20,0,-1,-1,"against"
"67","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Penidiellopsis",-1,"NA",20,"NA","NA","NA","against"
"68","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Teratosphaeria",-1,0,20,0,-1,-1,"against"
"69","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Teratosphaeriaceae.g__Xenophacidiella",-1,0,20,0,-1,-1,"against"
"70","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Myriangiales.f__Elsinoaceae.g__Elsinoe",-1,0,20,0,-1,-1,"against"
"71","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Myriangiales.f__Endosporiaceae.g__Endosporium",-1,"NA",20,"NA","NA","NA","against"
"72","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Myriangiales.f__Myriangiaceae.g__Anhellia",-1,0,20,0,-1,-1,"against"
"73","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Myriangiales.f__Myriangiaceae.g__Myriangium",-1,0,20,0,-1,-1,"against"
"74","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mytilinidales.f__Gloniaceae.g__Cenococcum",-1,"NA",20,"NA","NA","NA","against"
"75","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Amorosiaceae.g__Amorocoelophoma",-1,"NA",20,"NA","NA","NA","against"
"76","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Anteagloniaceae.g__Anteaglonium",-1,0,20,0,-1,-1,"against"
"77","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Bambusicolaceae.g__Bambusicola","NA","NA",20,"NA","NA","NA","against"
"78","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Bambusicolaceae.g__Corylicola",-0.782874525822245,0.651376422533263,20,0.1456521959725,-1.08772807557008,-0.478020976074409,"against"
"79","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Bambusicolaceae.g__Leucaenicola",-1,"NA",20,"NA","NA","NA","against"
"80","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Coniothyriaceae.g__Coniothyrium",-1,0,20,0,-1,-1,"against"
"81","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Corynesporascaceae.g__Corynespora",-1,0,20,0,-1,-1,"against"
"82","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Cucurbitariaceae.g__Neocucurbitaria",-1,0,20,0,-1,-1,"against"
"83","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Cucurbitariaceae.g__Pyrenochaetopsis",-1,"NA",20,"NA","NA","NA","against"
"84","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.g__Allophoma",-1,0,20,0,-1,-1,"against"
"85","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.g__Didymella",-0.623570987757854,0.73965727720566,20,0.165392395188426,-0.969741249303436,-0.277400726212273,"against"
"86","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.g__Neoascochyta",-0.78131628093809,0.656051157185731,20,0.146697498418469,-1.08835767384947,-0.474274888026708,"against"
"87","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.g__Neodidymelliopsis",-1,0,20,0,-1,-1,"against"
"88","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.g__Nothophoma",-0.89446687341732,0.394868802627435,20,0.088295348486889,-1.07927116169274,-0.709662585141896,"against"
"89","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.g__Alloconiothyrium",-1,"NA",20,"NA","NA","NA","against"
"90","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.g__Kalmusia",-0.628146650703696,0.831489366687509,20,0.185926674648152,-1.01729565309843,-0.238997648308966,"against"
"91","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.g__Montagnula",-1,0,20,0,-1,-1,"against"
