,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"156","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Teichosporaceae.g__Magnibotryascoma",-0.804559087562576,0.586322737312271,20,0.131105749738399,-1.07896657543628,-0.530151599688871,"against"
"157","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Teichosporaceae.g__Teichospora",-1,0,20,0,-1,-1,"against"
"158","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Tetraplosphaeriaceae.g__Tetraploa",-1,"NA",20,"NA","NA","NA","against"
"159","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.g__Pararoussoella",-1,0,20,0,-1,-1,"against"
"160","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.g__Parathyridaria",-1,0,20,0,-1,-1,"against"
"161","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.g__Parathyridariella",-1,0,20,0,-1,-1,"against"
"162","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.g__Thyridaria",-1,"NA",20,"NA","NA","NA","against"
"163","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Torulaceae.g__Torula",-1,"NA",20,"NA","NA","NA","against"
"164","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Tubeufiales.f__Tubeufiaceae.g__Uredinophila","NA","NA",20,"NA","NA","NA","against"
"165","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Tubeufiales.f__Tubeufiaceae.g__Zaanenomyces",-1,"NA",20,"NA","NA","NA","against"
"166","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Valsariales.f__Valsariaceae.g__Valsaria",-1,0,20,0,-1,-1,"against"
